Giocatore,Index,Avversario,Campo,Top
Tommaso Baldanzi,64.9,torino,trasf.,
Seydou Fini,64.7,frosinone,casa,
Patrizio Masini,64.1,frosinone,casa,
Kevin De Bruyne,64.0,bologna,casa,
Arthur Atta,63.9,inter,trasf.,
Maxence Caqueret,63.9,parma,casa,
Matteo Cichella,63.8,genoa,trasf.,
Douglas Luiz,63.7,sassuolo,trasf.,
Cesare Casadei,63.5,roma,casa,
Morten Frendrup,63.5,frosinone,casa,
Alieu Njie,63.4,roma,casa,
Jacopo Fazzini,63.0,venezia,trasf.,
Toma Basic,62.8,milan,casa,
Kouadio Kone,62.6,torino,trasf.,
Niccolò Pisilli,62.5,torino,trasf.,
Luis Henrique,62.1,udinese,casa,
Petar Sucic,62.0,udinese,casa,
Lazar Samardzic,61.7,cagliari,casa,
Kenneth Taylor,61.6,milan,casa,
Nicolo Fagioli,61.4,venezia,trasf.,
Adrián Bernabé,61.3,como,trasf.,
Reda Belahyane,61.3,milan,casa,
Alieu Fadera,61.2,juventus,casa,
Gianluca Gaetano,61.2,atalanta,trasf.,
Michael Folorunsho,61.2,atalanta,trasf.,
Ndary Adopo,61.2,atalanta,trasf.,
Jakub Piotrowski,61.2,inter,trasf.,
Tommaso Pobega,60.9,napoli,trasf.,
Alessandro Deiola,60.8,atalanta,trasf.,
Yunus Musah,60.8,cagliari,casa,
Mikael Ellertsson,60.7,frosinone,casa,
Nicolo Rovella,60.7,milan,casa,
Emirhan Ilkhan,60.6,roma,casa,
Antonio Vergara,60.5,bologna,casa,
Mario Pasalic,60.4,cagliari,casa,
Fisayo Dele-Bashiru,60.3,milan,casa,
Weston McKennie,60.2,sassuolo,trasf.,
Jens Odgaard,60.1,napoli,trasf.,
Samuele Ricci,60.1,lazio,trasf.,
Gvidas Gineitis,60.0,roma,casa,
Pontus Almqvist,59.9,como,trasf.,
Stanislav Lobotka,59.7,bologna,casa,
Billy Gilmour,59.7,bologna,casa,
Youssef Maleh,59.6,monza,casa,
Nicolò Cambiaghi,59.5,napoli,trasf.,
Romano Floriani,59.0,,trasf.,
Scott McTominay,58.8,bologna,casa,
Ethan Meichtry,58.7,frosinone,casa,
Ebenezer Akinsanmiro,58.7,,trasf.,
Zakaria Aboukhlal,58.6,roma,casa,
Franck Zambo,58.6,bologna,casa,
Oier Zarraga,58.5,inter,trasf.,
Benjamín Cremaschi,58.4,como,trasf.,
Ivan Ilic,58.4,roma,casa,
Alessio Zerbin,58.3,,trasf.,
Medon Berisha,58.0,monza,casa,
Eljif Elmas,57.9,bologna,casa,
Unai Gómez,57.6,inter,trasf.,
Mathis Mout,57.4,lecce,trasf.,
Ruben Loftus-Cheek,57.4,lazio,trasf.,
Mattia Felici,57.1,atalanta,trasf.,
Christian Ordóñez,56.9,como,trasf.,
Marco Brescianini,56.8,venezia,trasf.,
Luca Lipani,56.7,juventus,casa,
Alex Amorim,56.1,frosinone,casa,
Romano Schmid,55.9,genoa,trasf.,
Oumar Ngom,55.7,monza,casa,
Roberto Gagliardini,55.7,,trasf.,
Manuel Locatelli,55.0,sassuolo,trasf.,
Kerim-Sam Alajbegovic,54.9,sassuolo,trasf.,
Olaf Gorter,54.9,monza,casa,
Giovanni Fabbian,54.9,venezia,trasf.,
Diego Moreira,54.8,lazio,trasf.,
Edon Zhegrova,54.8,sassuolo,trasf.,
Lennon Miller,53.8,inter,trasf.,
Cher Ndour,53.7,venezia,trasf.,
Christ Inao Oulaï,53.5,venezia,trasf.,
Hans Nicolussi Caviglia,53.3,como,trasf.,
Marten de Roon,53.1,cagliari,casa,
Ardon Jashari,53.0,lazio,trasf.,
Matteo Dagasso,52.9,fiorentina,casa,
Oliver Sørensen,52.8,como,trasf.,
Omri Gandelman,52.6,monza,casa,
Edoardo Iannoni,52.5,juventus,casa,
Matteo Guendouzi,52.2,milan,casa,
Christian Kabasele,52.2,inter,trasf.,
Riyad Idrissi,52.0,atalanta,trasf.,
Lorenzo Pellegrini,51.9,torino,trasf.,
Simon Sohm,51.9,venezia,trasf.,
Danilo Cataldi,51.7,milan,casa,
Sergi Roberto,51.6,parma,casa,
Ylber Ramadani,51.6,monza,casa,
Nahuel Estévez,51.5,como,trasf.,
Franco Vázquez,51.4,,trasf.,
Filip Kostic,51.2,sassuolo,trasf.,
Grigoris Kastanos,51.2,,trasf.,
Joseph Liteta,51.2,atalanta,trasf.,
Kristjan Asllani,51.0,roma,casa,
Remo Freuler,50.8,napoli,trasf.,
Stephan El Shaarawy,50.5,torino,trasf.,
Jeremy Sarmiento,50.5,,trasf.,
Mikel Amondarain,50.4,napoli,trasf.,
Matteo Tramoni,50.4,,trasf.,
Luca Mazzitelli,50.2,atalanta,trasf.,
Jack Harrison,50.2,venezia,trasf.,
Tomás Suslov,50.2,,trasf.,
Mehdi Leris,50.0,,trasf.,
Henrikh Mkhitaryan,49.8,udinese,casa,
Hernani,49.8,como,trasf.,
Antoine Bernede,49.7,,trasf.,
Idrissa Touré,49.7,,trasf.,
Adrien Tameze,49.7,roma,casa,
Riccardo Sottil,49.7,monza,casa,
Isak Vural,49.5,,trasf.,
Alberto Grassi,49.4,,trasf.,
Christian Pulisic,49.4,lazio,trasf.,
Youssouf Fofana,49.3,lazio,trasf.,
Ruslan Malinovskiy,49.3,frosinone,casa,
Jari Vandeputte,49.3,,trasf.,
Ismaël Koné,49.2,juventus,casa,
Alex Sala,49.1,monza,casa,
Martín Payero,49.0,,trasf.,
Sandi Lovric,48.8,,trasf.,
Michele Collocolo,48.8,,trasf.,
Faustino Anjorin,48.7,roma,casa,
Kephren Thuram,48.5,sassuolo,trasf.,
Neil El Aynaoui,48.5,torino,trasf.,
Suat Serdar,48.5,,trasf.,
Fabio Miretti,48.4,sassuolo,trasf.,
Lorran,48.3,,trasf.,
Al Musrati,48.1,,trasf.,
Matteo Prati,48.0,roma,casa,
Aster Vranckx,47.9,juventus,casa,
Abdelhamid Sabiri,47.8,venezia,trasf.,
Daniel Boloca,47.8,juventus,casa,
Calvin Stengs,47.8,,trasf.,
Malthe Højholt,47.8,,trasf.,
Abdou Harroui,47.7,,trasf.,
Michel Aebischer,47.7,,trasf.,
Gaetano Oristanio,47.6,como,trasf.,
Thórir Helgason,47.5,monza,casa,
Lorenzo Venturino,47.5,torino,trasf.,
Gabriele Piccinini,47.5,,trasf.,
Albert Grønbæk,47.2,frosinone,casa,
Morten Thorsby,47.2,frosinone,casa,
Jacob Ondrejka,46.7,como,trasf.,
Warren Bondo,46.6,,trasf.,
Nicolae Stanciu,45.8,frosinone,casa,
Cheikh Niasse,45.6,,trasf.,
Marius Marin,44.9,,trasf.,
Amir Richardson,44.6,venezia,trasf.,
Maxwel Cornet,42.9,frosinone,casa,
