Giocatore,Index,Avversario,Campo,Top
mario hermoso,83.7,bologna,trasf.,🔥
giorgio scalvini,83.4,cagliari,trasf.,🔥
alessandro buongiorno,83.2,cremonese,casa,🔥
davide zappacosta,81.9,cagliari,trasf.,🔥
alex valle,81.8,genoa,trasf.,🔥
federico dimarco,81.6,torino,trasf.,🔥
leonardo spinazzola,80.9,cremonese,casa,🔥
rafik belghali,80.2,lecce,casa,🔥
alberto moreno,79.3,genoa,trasf.,🔥
oumar solet,79.2,lazio,trasf.,🔥
mergim vojvoda,79.2,genoa,trasf.,
oliver provstgaard,78.5,udinese,casa,
evan ndicka,78.5,bologna,trasf.,
marcus pedersen,77.9,inter,casa,
samuele angori,77.9,parma,trasf.,
davide bartesaghi,77.6,juventus,casa,
simone canestrelli,77.3,parma,trasf.,
marcoliver kempf,77.3,genoa,trasf.,
lloyd kelly,77.1,milan,trasf.,
patric,76.7,udinese,casa,
tiago gabriel,76.5,verona,trasf.,
bremer,76.1,milan,trasf.,
miguel gutierrez,75.9,cremonese,casa,
domagoj bradaric,75.9,lecce,casa,
denzel dumfries,75.5,torino,trasf.,
diego carlos,74.9,genoa,trasf.,
leo ostigard,74.3,como,casa,
devyne rensch,74.0,bologna,trasf.,
manuel lazzari,73.9,udinese,casa,
aaron martin,73.6,como,casa,
manuel akanji,73.5,torino,trasf.,
juan miranda,73.4,roma,casa,
yann bisseck,73.4,torino,trasf.,
andrea cambiaso,73.2,milan,trasf.,
rafael obrador,72.7,inter,casa,
mariano troilo,72.7,pisa,casa,
ignace van der brempt,72.4,genoa,trasf.,
jhon lucumi,72.4,roma,casa,
antonino gallo,72.0,verona,trasf.,
sascha britschgi,71.8,pisa,casa,
nuno tavares,71.8,udinese,casa,
stefano sabelli,71.7,como,casa,
alessio romagnoli,71.6,udinese,casa,
giuseppe pezzella,71.4,napoli,trasf.,
nadir zortea,71.3,roma,casa,
marco palestra,71.2,atalanta,casa,
nicolas valentini,70.9,lecce,casa,
tarik muharemovic,70.8,fiorentina,trasf.,
mathias olivera,70.5,cremonese,casa,
mario gila,70.5,udinese,casa,
adam obert,70.4,atalanta,casa,
enzo ebosse,70.1,lecce,casa,
mehmet celik,70.1,bologna,trasf.,
strahinja pavlovic,70.0,juventus,casa,
emanuele valeri,69.3,pisa,casa,
guillermo maripan,69.2,inter,casa,
enrico del prato,68.9,pisa,casa,
honest ahanor,68.9,cagliari,trasf.,
raoul bellanova,68.6,cagliari,trasf.,
berat gjimshiti,67.9,cagliari,trasf.,
victor nelsson,67.8,lecce,casa,
danilo veiga,67.8,verona,trasf.,
martin frese,67.8,lecce,casa,
kingsley ehizibue,67.5,lazio,trasf.,
matteo bianchetti,67.2,napoli,trasf.,
joao mario,67.0,milan,trasf.,
jeandaniel akpaakpro,66.9,lecce,casa,
juan jesus,66.9,cremonese,casa,
yerry mina,66.9,atalanta,casa,
jacobo ramon,66.7,genoa,trasf.,
