Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Federico Dimarco,87.9,Parma,Casa,🔥,7.0
Wesley,86.5,Fiorentina,Casa,🔥,10.5
Mario Hermoso,83.2,Fiorentina,Casa,🔥,11.0
Davide Zappacosta,82.4,Genoa,Casa,🔥,5.5
Bremer,82.3,Verona,Casa,🔥,4.5
Denzel Dumfries,80.8,Parma,Casa,🔥,6.0
Yann Bisseck,80.7,Parma,Casa,🔥,7.0
Alex Valle,80.2,Napoli,Casa,🔥,6.0
Matteo Gabbia,80.2,Sassuolo,Trasf.,🔥,5.0
Evan Ndicka,79.3,Fiorentina,Casa,🔥,6.5
Marcus Pedersen,78.1,Udinese,Trasf.,,6.5
Tiago Gabriel,78.0,Pisa,Trasf.,,6.5
Dodo,77.9,Roma,Trasf.,,4.5
Giorgio Scalvini,77.6,Genoa,Casa,,6.5
Jhon Lucumi,77.5,Cagliari,Casa,,6.0
Rafael Obrador,76.7,Udinese,Trasf.,,4.5
Devyne Rensch,75.9,Fiorentina,Casa,,5.5
Sam Beukema,75.9,Como,Trasf.,,6.0
Leonardo Spinazzola,75.7,Como,Trasf.,,6.0
Strahinja Pavlovic,75.2,Sassuolo,Trasf.,,6.0
Amir Rrahmani,74.0,Como,Trasf.,,6.5
Oumar Solet,74.0,Torino,Casa,,7.0
Jacobo Ramon,74.0,Napoli,Casa,,6.0
Lloyd Kelly,73.8,Verona,Casa,,5.5
Rafik Belghali,73.8,Juventus,Trasf.,,6.0
Mehmet Celik,73.4,Fiorentina,Casa,,6.0
Thomas Kristensen,72.7,Torino,Casa,,10.0
Honest Ahanor,72.3,Genoa,Casa,,5.5
Mariano Troilo,72.2,Inter,Trasf.,,6.0
Marcoliver Kempf,72.2,Napoli,Casa,,5.5
Odilon Kossounou,72.2,Genoa,Casa,,6.0
Marco Palestra,71.8,Bologna,Trasf.,,6.0
Andrea Cambiaso,71.6,Verona,Casa,,6.0
Ivan Smolcic,71.6,Napoli,Casa,,6.0
Ardian Ismajli,71.6,Udinese,Trasf.,,6.5
Gianluca Mancini,71.2,Fiorentina,Casa,,10.5
Guillermo Maripan,71.1,Udinese,Trasf.,,6.0
Manuel Akanji,71.0,Parma,Casa,,7.0
Berat Gjimshiti,70.7,Genoa,Casa,,6.5
Hassane Kamara,70.5,Torino,Casa,,6.0
Patric,70.2,Cremonese,Trasf.,,5.0
Alberto Moreno,70.2,Napoli,Casa,,6.0
Matteo Darmian,70.1,Parma,Casa,,6.0
Alessio Romagnoli,70.0,Cremonese,Trasf.,,6.5
Stefan De Vrij,70.0,Parma,Casa,,6.5
Zachary Athekame,70.0,Sassuolo,Trasf.,,5.5
Samuele Angori,69.9,Lecce,Casa,,6.5
Nuno Tavares,69.4,Cremonese,Trasf.,,6.5
Victor Nelsson,69.2,Juventus,Trasf.,,7.0
Emil Holm,69.2,Verona,Casa,,6.0
Kingsley Ehizibue,69.0,Torino,Casa,,9.5
Alessandro Buongiorno,68.6,Como,Trasf.,,6.0
Antonino Gallo,68.3,Pisa,Trasf.,,6.0
Nadir Zortea,68.1,Cagliari,Casa,,s.v.
Johan Vasquez,67.5,Atalanta,Trasf.,,6.5
Yerry Mina,67.4,Bologna,Trasf.,,6.5
Luca Marianucci,67.2,Udinese,Trasf.,,6.0
Daniele Ghilardi,67.0,Fiorentina,Casa,,6.0
Fikayo Tomori,66.8,Sassuolo,Trasf.,,3.0
Koni De Winter,66.7,Sassuolo,Trasf.,,4.0
Diego Carlos,66.7,Napoli,Casa,,6.5
Sead Kolasinac,66.7,Genoa,Casa,,6.0
Miguel Gutierrez,66.5,Como,Trasf.,,6.0
Oliver Provstgaard,66.4,Cremonese,Trasf.,,6.0
Leo Ostigard,66.2,Atalanta,Trasf.,,7.0
Emanuele Valeri,65.9,Inter,Trasf.,,6.0
Sebastiano Luperto,65.5,Lazio,Casa,,6.0
Carlos Augusto,65.4,Parma,Casa,,6.0
Pasquale Mazzocchi,65.3,Como,Trasf.,,6.0
Enrico Del Prato,64.9,Inter,Trasf.,,5.5
Pietro Comuzzo,64.8,Roma,Trasf.,,4.5
Davide Bartesaghi,64.4,Sassuolo,Trasf.,,4.5
Francesco Acerbi,64.2,Parma,Casa,,5.0
Filippo Terracciano,63.8,Lazio,Casa,,5.0
Juan Miranda,63.8,Cagliari,Casa,,5.0
Torbjorn Heggem,63.7,Cagliari,Casa,,5.0
Adam Obert,63.7,Bologna,Trasf.,,6.5
Marin Pongracic,63.7,Roma,Trasf.,,3.5
Gaby Jean,63.7,Pisa,Trasf.,,5.5
Mathias Olivera,63.6,Como,Trasf.,,6.5
Saul Coco,63.6,Udinese,Trasf.,,5.5
Tarik Muharemovic,63.4,Milan,Casa,,6.5
Woyo Coulibaly,63.3,Milan,Casa,,6.5
Stefano Sabelli,63.3,Atalanta,Trasf.,,6.5
Juan Arizala,62.4,Torino,Casa,,s.v.
Simone Canestrelli,61.9,Lecce,Casa,,6.0
Danilo Veiga,61.9,Pisa,Trasf.,,6.0
Aaron Martin,61.9,Atalanta,Trasf.,,s.v.
Adam Marusic,61.7,Cremonese,Trasf.,,6.5
Arturo Calabresi,61.6,Lecce,Casa,,5.0
Martin Frese,61.6,Juventus,Trasf.,,5.5
Francesco Folino,61.5,Lazio,Casa,,5.5
Domagoj Bradaric,61.5,Juventus,Trasf.,,7.5
Jay Idzes,61.5,Milan,Casa,,6.0
Federico Baschirotto,61.5,Lazio,Casa,,6.0
Daniele Rugani,61.3,Verona,Casa,,6.0
Sascha Britschgi,61.2,Inter,Trasf.,,6.0
Ignace Van Der Brempt,61.2,Napoli,Casa,,6.0
Manuel Lazzari,60.7,Cremonese,Trasf.,,5.0
Luca Ranieri,60.3,Roma,Trasf.,,4.0
Federico Gatti,60.2,Verona,Casa,,s.v.
Lorenzo De Silvestri,60.2,Cagliari,Casa,,6.0
Angelino,59.9,Fiorentina,Casa,,6.0
Jean Onana,59.8,Atalanta,Trasf.,,6.0
Filippo Romagna,59.7,Milan,Casa,,6.5
Juan Cuadrado,59.7,Lecce,Casa,,s.v.
Lautaro Valenti,59.6,Inter,Trasf.,,6.5
Giuseppe Pezzella,59.6,Lazio,Casa,,5.0
Jamil Siebert,59.3,Pisa,Trasf.,,5.0
Josh Doig,59.3,Milan,Casa,,5.0
Juan Jesus,59.0,Como,Trasf.,,5.0
Raoul Bellanova,58.4,Genoa,Casa,,4.5
Sebastian Otoa,58.3,Atalanta,Trasf.,,5.0
Martin Vitik,58.2,Cagliari,Casa,,6.0
Niakhate Ndiaye,58.0,Inter,Trasf.,,5.0
Enzo Ebosse,57.8,Juventus,Trasf.,,6.0
Jeandaniel Akpaakpro,57.8,Juventus,Trasf.,,7.0
Tommaso Barbieri,57.6,Lazio,Casa,,5.0
Valentino Lazaro,57.2,Udinese,Trasf.,,5.5
Alessandro Circati,57.2,Inter,Trasf.,,5.5
Alessandro Marcandalli,57.2,Atalanta,Trasf.,,6.5
Cristiano Biraghi,56.7,Udinese,Trasf.,,6.0
Sebastian Walukiewicz,56.6,Milan,Casa,,6.0
Eivind Helland,56.4,Cagliari,Casa,,5.5
Alberto Dossena,56.1,Bologna,Trasf.,,6.5
Isak Hien,56.1,Genoa,Casa,,6.0
Rui Modesto,55.9,Torino,Casa,,7.0
Raul Albiol,55.6,Lecce,Casa,,5.0
Juan Rodriguez,55.5,Bologna,Trasf.,,6.0
Rosen Bozhinov,55.4,Lecce,Casa,,5.0
Estupinan,55.4,Sassuolo,Trasf.,,4.5
