Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
nico paz,86.8,genoa,trasf.,🔥,6.0
hakan calhanoglu,86.0,torino,trasf.,🔥,6.5
cristian volpato,84.1,fiorentina,trasf.,🔥,6.5
piotr zielinski,83.5,torino,trasf.,🔥,6.0
nikola vlasic,82.8,inter,casa,🔥,10.0
arthur atta,82.3,lazio,trasf.,🔥,13.0
nicolo barella,81.5,torino,trasf.,🔥,5.5
martin baturina,80.9,genoa,trasf.,🔥,6.5
toma basic,80.3,udinese,casa,🔥,7.0
adrien rabiot,79.7,juventus,casa,🔥,7.0
tommaso baldanzi,79.7,bologna,trasf.,,8.0
francisco conceicao,79.7,milan,trasf.,,7.0
lucas da cunha,79.1,genoa,trasf.,,8.5
jonathan rowe,78.5,roma,casa,,5.5
mattia zaccagni,78.3,udinese,casa,,3.5
maximo perrone,77.4,genoa,trasf.,,6.0
lassana coulibaly,75.2,verona,trasf.,,6.0
daniel maldini,75.2,udinese,casa,,9.5
matteo tramoni,75.0,parma,trasf.,,5.5
riccardo orsolini,74.4,roma,casa,,6.0
adrian bernabe,73.7,pisa,casa,,5.0
kristian thorstvedt,73.7,fiorentina,trasf.,,6.0
luka modric,73.6,juventus,casa,,6.0
jurgen ekkelenkamp,73.4,lazio,trasf.,,7.0
alieu fadera,73.4,fiorentina,trasf.,,5.5
weston mckennie,73.2,milan,trasf.,,5.5
mario pasalic,72.3,cagliari,trasf.,,5.5
manuel locatelli,72.1,milan,trasf.,,5.0
jack harrison,71.9,sassuolo,casa,,5.5
marten de roon,71.8,cagliari,trasf.,,5.0
ismael kone,71.8,fiorentina,trasf.,,5.5
alisson santos,71.3,cremonese,casa,,10.5
kephren thuram,71.3,milan,trasf.,,6.5
matteo politano,71.2,cremonese,casa,,6.0
gianluca gaetano,71.1,atalanta,casa,,7.0
junior messias,71.0,como,casa,,5.5
jacopo fazzini,70.8,sassuolo,casa,,6.0
nicola zalewski,70.5,cagliari,trasf.,,5.5
bryan cristante,69.7,bologna,trasf.,,6.5
cher ndour,69.7,sassuolo,casa,,5.5
