Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Matteo Politano,89.1,Cagliari,Trasf.,🔥,6.0
Alisson Santos,87.3,Cagliari,Trasf.,🔥,6.0
Francisco Conceicao,86.9,Sassuolo,Casa,🔥,7.5
Lucas Da Cunha,84.3,Pisa,Casa,🔥,7.0
Gustav Isaksen,83.5,Bologna,Trasf.,🔥,6.5
Nico Paz,82.4,Pisa,Casa,🔥,9.5
Scott Mctominay,81.8,Cagliari,Trasf.,🔥,10.0
Gianluca Gaetano,80.9,Napoli,Casa,🔥,5.0
Nicola Zalewski,80.5,Verona,Casa,🔥,6.0
Arthur Atta,79.8,Genoa,Trasf.,🔥,5.5
Bryan Cristante,79.1,Lecce,Casa,,6.0
Luka Modric,79.0,Torino,Casa,,7.5
Martin Baturina,78.9,Pisa,Casa,,10.0
Maximo Perrone,78.7,Pisa,Casa,,10.0
Jonathan Rowe,78.4,Lazio,Casa,,6.0
Hakan Calhanoglu,77.9,Fiorentina,Trasf.,,6.0
Nikola Vlasic,77.7,Milan,Trasf.,,11.0
Kristian Thorstvedt,77.7,Juventus,Trasf.,,5.5
Adrien Rabiot,77.4,Torino,Casa,,11.0
Junior Messias,77.3,Udinese,Casa,,6.0
Maxence Caqueret,76.1,Pisa,Casa,,6.5
Lorenzo Pellegrini,76.0,Lecce,Casa,,6.5
Daniel Maldini,75.9,Bologna,Trasf.,,5.5
Cristian Volpato,75.9,Juventus,Trasf.,,6.5
Piotr Zielinski,75.2,Fiorentina,Trasf.,,5.0
Kevin De Bruyne,74.9,Cagliari,Trasf.,,6.5
Michael Folorunsho,74.8,Napoli,Casa,,5.0
Ederson,74.5,Verona,Casa,,6.0
Mario Pasalic,74.2,Verona,Casa,,5.5
Stephan El Shaarawy,73.5,Lecce,Casa,,6.0
Samuele Ricci,73.1,Torino,Casa,,6.5
Ylber Ramadani,73.1,Roma,Trasf.,,6.0
Zambo Anguissa,73.1,Cagliari,Trasf.,,6.0
Marco Brescianini,72.7,Inter,Casa,,6.0
Kouadio Kone,72.3,Lecce,Casa,,5.0
Albert Gudmundsson,70.8,Inter,Casa,,6.5
Riccardo Orsolini,70.8,Lazio,Casa,,1.5
Marten De Roon,70.7,Verona,Casa,,6.5
Nicolo Fagioli,70.7,Inter,Casa,,7.0
Christian Pulisic,70.6,Torino,Casa,,7.0
Santiago Pierotti,70.4,Roma,Trasf.,,6.0
Emirhan Ilkhan,70.2,Milan,Trasf.,,6.0
Alexis Saelemaekers,69.7,Torino,Casa,,6.0
Ismael Kone,69.7,Juventus,Trasf.,,7.0
Lazar Samardzic,69.5,Verona,Casa,,s.v.
Matteo Tramoni,69.4,Como,Trasf.,,5.0
Manuel Locatelli,69.3,Sassuolo,Casa,,2.0
Eljif Elmas,69.0,Cagliari,Trasf.,,4.5
Morten Frendrup,68.8,Udinese,Casa,,6.5
Gaetano Oristanio,67.8,Cremonese,Casa,,5.0
Weston Mckennie,67.2,Sassuolo,Casa,,5.0
Tommaso Baldanzi,67.0,Lecce,Casa,,5.0
Nicolo Zaniolo,67.0,Genoa,Trasf.,,7.0
Mikael Ellertsson,66.9,Udinese,Casa,,5.5
Billy Gilmour,66.6,Cagliari,Trasf.,,5.5
Niccolo Pisilli,66.5,Lecce,Casa,,5.5
Jens Odgaard,65.9,Lazio,Casa,,6.5
